Time, Oxygen, Tau - Phase Method, Sensor Temperature, Air Pressure
2024-03-05 10:33:21.1, 20.84884, 3.086488, 200, 99.01367
2024-03-05 10:33:21.7, 20.84686, 3.086537, 200, 99.0127
2024-03-05 10:33:22.2, 20.84958, 3.086471, 200, 99.01196
2024-03-05 10:33:22.8, 20.87273, 3.085911, 200, 99.01147
2024-03-05 10:33:23.3, 20.95801, 3.083851, 200, 99.01172
2024-03-05 10:33:23.9, 20.85736, 3.086283, 200, 99.01196
2024-03-05 10:33:24.5, 20.85041, 3.086451, 200, 99.01221
2024-03-05 10:33:25.1, 20.91114, 3.084983, 200, 99.01221
2024-03-05 10:33:25.7, 20.86235, 3.086162, 200, 99.01147
2024-03-05 10:33:26.2, 20.90974, 3.085016, 200, 99.01196
2024-03-05 10:33:26.8, 20.71081, 3.08983, 200, 99.01221
2024-03-05 10:33:27.4, 20.82716, 3.087013, 200, 99.01099
2024-03-05 10:33:28.0, 20.95547, 3.083912, 200, 99.01147
2024-03-05 10:33:28.5, 20.74522, 3.088996, 200, 99.01099
2024-03-05 10:33:29.1, 20.86512, 3.086095, 200, 99.01099
2024-03-05 10:33:29.7, 20.85554, 3.086327, 200, 99.01123
2024-03-05 10:33:30.3, 20.8249, 3.087068, 200, 99.01196
2024-03-05 10:33:30.9, 20.82896, 3.086969, 200, 99.01196
2024-03-05 10:33:31.5, 20.926, 3.084624, 200, 99.01196
2024-03-05 10:33:32.0, 20.90379, 3.08516, 200, 99.0127
2024-03-05 10:33:32.6, 20.82569, 3.087049, 200, 99.01245
2024-03-05 10:33:33.2, 20.80378, 3.087579, 200, 99.01343
2024-03-05 10:33:33.8, 20.7787, 3.088186, 200, 99.01343
2024-03-05 10:33:34.3, 20.92127, 3.084738, 200, 99.01416
2024-03-05 10:33:34.9, 20.98595, 3.083176, 200, 99.01318
2024-03-05 10:33:35.5, 20.88241, 3.085677, 200, 99.0127
2024-03-05 10:33:36.1, 20.71635, 3.089696, 200, 99.01294
2024-03-05 10:33:36.7, 20.7571, 3.088709, 200, 99.01343
2024-03-05 10:33:37.3, 20.84801, 3.086509, 200, 99.01489
2024-03-05 10:33:37.8, 20.81235, 3.087371, 200, 99.01538
2024-03-05 10:33:38.4, 20.83601, 3.086799, 200, 99.01587
2024-03-05 10:33:38.9, 20.88567, 3.085598, 200, 99.01563
2024-03-05 10:33:39.5, 20.96095, 3.08378, 200, 99.0166
2024-03-05 10:33:40.1, 20.97371, 3.083472, 200, 99.01611
2024-03-05 10:33:40.7, 20.84232, 3.086646, 200, 99.01611
2024-03-05 10:33:41.3, 20.7116, 3.089811, 200, 99.0166
2024-03-05 10:33:41.9, 20.93727, 3.084352, 200, 99.0166
2024-03-05 10:33:42.4, 20.83118, 3.086916, 200, 99.01709
2024-03-05 10:33:43.0, 20.72686, 3.089441, 200, 99.01758
2024-03-05 10:33:43.6, 20.84438, 3.086597, 200, 99.0166
2024-03-05 10:33:44.2, 20.85291, 3.08639, 200, 99.01636
2024-03-05 10:33:44.8, 20.86784, 3.086029, 200, 99.01733
2024-03-05 10:33:45.4, 20.90995, 3.085011, 200, 99.01782
2024-03-05 10:33:45.9, 20.93206, 3.084477, 200, 99.01855
2024-03-05 10:33:46.4, 20.95018, 3.08404, 200, 99.01929
2024-03-05 10:33:47.0, 20.87361, 3.08589, 200, 99.01929
2024-03-05 10:33:47.5, 20.91343, 3.084927, 200, 99.01831
2024-03-05 10:33:48.1, 20.9458, 3.084146, 200, 99.01831
2024-03-05 10:33:48.7, 20.82787, 3.086996, 200, 99.01855
2024-03-05 10:33:49.2, 20.783, 3.088082, 200, 99.0188
2024-03-05 10:33:49.8, 20.66731, 3.090885, 200, 99.0188
2024-03-05 10:33:50.3, 20.9333, 3.084447, 200, 99.01782
2024-03-05 10:33:50.9, 20.91321, 3.084933, 200, 99.01733
2024-03-05 10:33:51.5, 20.86675, 3.086056, 200, 99.01709
2024-03-05 10:33:52.1, 20.84747, 3.086522, 200, 99.01636
2024-03-05 10:33:52.7, 20.80435, 3.087565, 200, 99.01636
2024-03-05 10:33:53.3, 20.89827, 3.085294, 200, 99.01587
2024-03-05 10:33:53.8, 20.72281, 3.089539, 200, 99.01563
2024-03-05 10:33:54.4, 20.77062, 3.088381, 200, 99.01465
2024-03-05 10:33:55.0, 20.76613, 3.08849, 200, 99.01392
2024-03-05 10:33:55.5, 20.73917, 3.089143, 200, 99.0127
2024-03-05 10:33:56.0, 20.63852, 3.091583, 200, 99.01147
2024-03-05 10:33:56.7, 20.64897, 3.09133, 200, 99.01001
2024-03-05 10:33:57.2, 20.79272, 3.087847, 200, 99.00928
2024-03-05 10:33:57.7, 20.77257, 3.088334, 200, 99.00854
2024-03-05 10:33:58.4, 20.67902, 3.090601, 200, 99.00781
2024-03-05 10:33:58.9, 20.73669, 3.089203, 200, 99.00757
2024-03-05 10:33:59.4, 20.73065, 3.08935, 200, 99.00757
